Id;Ano;Numero_Accidente;Provincia;Mes;Dia;Hora;Dia_Semana;Tipo_Dia;Vehiculos_Implicados;Carretera;Pk;Km;Hm;Sentido;Zona;Tipo_Via;Anchura_Calzada;Anchura_Carril;Marcas_Viales;Arcen;Arcen_Pavimentado;Mediana;Barrera_Seguridad;Paneles_Direccionales;Hitos_Arista;Captafaros;Interseccion_Tipo;Interseccion_Acondicionamiento;Prioridad_Regulada_por;Superficie;Luminosidad;Factores_Atmosfericos;Visibilidad_Restringida_por;Otras_Circunstancias;Senalizacion_Peligro;Aceras;Arboles;Arboles_Metros_Calzada;Visibilidad_Senalizacion_Vertical;Colision_Vehiculos_Marcha;Colision_Vehiculo_Obstaculo_1;Colision_Vehiculo_Obstaculo_2;Atropello_1;Atropello_2;Vuelco_1;Vuelco_2;Salida_Sin_Colision;Salida_Con_Colision;Lado_Salida;Otro;Circulacion;Circulacion_Medidas_Especiales;Distraccion;Inexperiencia_Conductor;Alcohol_Drogas;Cansancio_Sueno;Enfermedad;Velocidad_Inadecuada;Infraccion_Norma_Circulacion;Estado_Condicion_Via;Estado_Condicion_Senalizacion;Tramo_Obras;Mal_Estado_Vehiculo;Averia_Mecanica;Meteorologia_Adversa;Irrupcion_Animal;Circular_Sentido_Contrario;Otro_Factor;Sin_Opinion_Definida;Pendiente;Curvatura;Peralte;GPS_x;GPS_y;GPS_z;Tipo_Est;IMD;N_Muertos;N_Graves;N_Leves;N_Victimas;N_Conductores;N_Pasajeros;N_Peatones;Gravedad;Grado_Gravedad;Hora_Real;Fuera_o_Interseccion
674;1;2,01E+12;1;6;8;5;3;1;4;CV-865;2.5;2;5;1;1;5;3;2;3;3;2;1;1;1;1;1;2;2;5;1;1;1;9;14;1;1;1;NaN;2;3;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;2;1;1;711168214;4232256.86;-18.139;Cob;14160;0;1;2;3;4;0;0;1;2;15;6
151;1;2,01E+12;1;6;4;3;6;2;2;CV-900;3.4;3;4;1;1;5;2;2;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;2;1;1;NaN;1;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;685804937;4224076646;-10.085;Cob;7956;0;0;3;3;2;1;0;0;3;8;1
126;1;2,01E+12;1;6;6;6;1;4;2;CV-95;19.8;19;8;1;1;5;2;2;3;3;2;1;1;1;2;2;2;5;3;1;1;1;9;14;1;1;1;NaN;2;1;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;686428549;4213589879;18.165;Cob;10460;0;0;2;2;2;1;0;0;3;18;7
127;1;2,01E+12;1;6;12;4;7;3;1;CV-940;11.8;11;8;0;1;5;3;2;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;2;1;1;NaN;1;NaN;NaN;;NaN;;12;9;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;697655093;4216333477;-8.732;Cob;4511;0;0;2;2;1;1;0;0;3;13;2
129;1;2,01E+12;1;6;16;3;4;1;2;CV-91;1.7;1;7;1;1;5;3;2;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;2;1;1;NaN;1;3;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;703618197;4219079132;-21.189;Cob;11515;0;0;3;3;2;1;0;0;3;9;2
130;1;2,01E+12;1;6;20;4;1;1;1;CV-821;8.9;8;9;1;1;5;3;2;3;3;2;1;1;1;1;1;7;7;8;1;1;1;9;14;3;2;1;NaN;2;NaN;NaN;;21;21;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;1;716964442;4252107732;70.694;Cob;12499;0;0;2;2;1;0;1;0;3;14;2
134;1;2,01E+12;1;6;19;4;7;3;3;CV-895;5.4;5;4;1;1;5;2;2;3;3;2;1;1;1;1;1;2;1;8;1;1;1;9;14;3;1;1;NaN;2;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;3;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;701179809;4214115243;-11.348;Cob;8765;0;0;2;2;3;1;0;0;3;13;6
136;1;2,01E+12;1;6;17;4;5;1;2;CV-91;7;7;0;1;1;5;3;2;3;3;2;1;1;1;2;2;5;1;4;1;1;1;9;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;64;60;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;698493366;4219259036;-26.792;Sec;13355;0;0;1;1;2;0;0;0;3;11;7
141;1;2,01E+12;1;6;14;6;2;1;2;CV-95;10.3;10;3;1;1;5;3;2;3;3;2;1;1;2;2;2;7;7;5;1;1;1;2;14;1;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;2;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;693083.95;4207511926;39.028;Cob;12125;0;0;5;5;2;5;0;0;3;17;5
143;1;2,01E+12;1;6;18;3;6;2;2;CV-763;0.3;0;3;0;1;5;2;2;3;3;2;1;1;1;2;1;1;1;5;1;1;1;9;14;1;1;3;NaN;2;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;753572741;4272959481;13.584;Cob;11810;0;0;1;1;2;0;0;0;3;10;7
145;1;2,01E+12;1;6;18;1;6;2;1;CV-763;0.6;0;6;0;1;5;3;2;3;1;2;1;1;1;2;2;1;4;5;1;3;1;3;14;1;1;1;NaN;2;NaN;NaN;;21;21;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;753365554;4273171242;22.494;Cob;11810;0;2;0;2;1;0;2;1;2;23;7
146;1;2,01E+12;1;6;23;1;4;1;1;CV-715;25.5;25;5;0;1;5;1;3;4;1;2;1;2;2;1;1;7;7;8;1;5;1;9;2;1;1;3;NaN;2;NaN;NaN;;NaN;;NaN;;65;NaN;60;NaN;1;4;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;754106517;4289554372;511.484;Cob;447;1;0;0;1;1;0;0;1;1;2;4
147;1;2,01E+12;1;6;4;2;6;2;1;CV-870;3.5;3;5;0;1;5;2;2;3;3;2;1;1;2;1;1;7;7;8;1;2;1;2;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;67;NaN;60;NaN;1;4;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;679467348;4222842731;21.424;Cob;6592;0;0;1;1;1;0;0;0;3;6;5
185;1;2,01E+12;1;6;22;3;3;1;3;CV-920;3;3;0;0;1;5;2;3;3;3;2;1;2;2;1;1;7;7;8;1;1;1;9;14;2;1;1;NaN;1;5;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;688253672;4215380363;0.311;Pri;7582;0;1;2;3;3;1;0;1;2;7;1
189;1;2,01E+12;1;6;13;4;1;1;4;CV-91;4.6;4;6;1;1;5;2;3;3;4;2;1;1;1;1;1;7;7;8;1;1;1;9;14;1;1;1;NaN;1;NaN;30;29;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;700879561;4218923246;-25.631;Sec;13355;0;0;3;3;4;0;0;0;3;14;1
191;1;2,01E+12;1;6;23;4;4;1;2;CV-700;60.5;60;5;1;1;5;3;2;3;3;2;1;1;1;1;1;1;6;8;1;1;1;9;14;3;1;1;NaN;1;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;715602558;4295783807;639.149;Cob;7180;0;0;2;2;2;1;0;0;3;14;6
195;1;2,01E+12;1;6;24;6;5;1;2;CV-725;0.2;0;2;0;1;5;1;2;4;4;2;1;1;1;2;2;7;7;8;1;1;1;9;14;1;1;1;NaN;1;1;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;3;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;762872095;4301049153;17.24;Pri;18142;0;0;4;4;2;2;0;0;3;22;4
201;1;2,01E+12;1;6;24;5;5;1;2;CV-820;15.3;15;3;1;1;5;2;2;3;3;2;1;1;1;1;1;7;7;8;1;1;1;9;14;3;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;708811026;4255392845;192.184;Pri;4035;0;1;0;1;2;0;0;1;2;16;1
203;1;2,01E+12;1;6;26;2;7;3;2;CV-855;2.5;2;5;1;1;5;2;2;3;3;2;1;1;1;1;1;7;7;8;1;1;1;9;8;3;1;1;NaN;2;3;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;697612891;4224078.15;-15.129;Pri;10599;0;0;1;1;2;0;0;0;3;6;1
204;1;2,01E+12;1;6;22;3;3;1;1;CV-700;59.6;59;6;0;1;5;1;3;3;3;2;1;1;1;1;1;7;7;5;1;1;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;57;NaN;50;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;752307057;4303894209;8.478;Cob;7180;0;0;1;1;1;0;0;0;3;10;1
206;1;2,01E+12;1;6;26;6;7;3;2;CV-820;1.1;1;1;1;1;5;3;2;3;3;2;1;1;1;1;1;1;1;3;1;5;1;9;14;2;1;3;NaN;1;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;696962416;4251954789;211.364;Cob;6864;0;0;1;1;2;0;0;0;3;22;7
208;1;2,01E+12;1;6;27;1;1;1;1;CV-940;7.7;7;7;0;1;5;2;2;3;3;2;1;1;1;1;1;7;7;8;1;5;1;9;14;2;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;51;50;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;696890119;4212869337;33.889;Cob;4511;0;0;1;1;1;0;0;0;3;2;1
210;1;2,01E+12;1;6;28;3;2;1;2;CV-83;0;0;0;0;1;5;2;2;3;3;2;1;1;1;1;1;5;6;4;1;1;1;9;14;1;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;693559046;4258778596;384.44;Cob;9515;0;1;0;1;2;0;0;1;2;8;6
214;1;2,01E+12;1;6;23;4;4;1;2;CV-865;2.5;2;5;1;1;5;3;2;3;3;2;1;1;1;1;1;2;2;3;1;1;1;9;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;67;NaN;60;NaN;1;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;711168214;4232256.86;-18.139;Cob;14160;0;0;1;1;2;0;0;0;3;12;6
218;1;2,01E+12;1;6;22;4;3;1;4;CV-95;13.1;13;1;0;1;5;3;2;3;3;2;1;1;1;2;1;1;4;3;1;1;1;9;14;1;1;1;NaN;1;5;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;690595648;4210670451;64.072;Cob;12125;0;0;2;2;4;1;0;0;3;13;6
219;1;2,01E+12;1;6;28;1;2;1;1;CV-700;18.6;18;6;1;1;5;2;2;3;1;2;1;1;1;1;1;7;7;5;1;5;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;67;NaN;60;NaN;1;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;744308624;4303296621;173.219;Cob;2862;0;0;1;1;1;0;0;0;3;1;1
226;1;2,01E+12;1;6;30;6;4;1;2;CV-91;4.8;4;8;0;1;5;3;2;3;4;2;1;2;2;2;2;7;7;8;1;1;1;9;14;3;1;1;NaN;1;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;685670574;4218230018;-12.997;Sec;13355;0;0;1;1;2;0;0;0;3;19;1
227;1;2,01E+12;1;6;13;5;1;4;1;CV-95;15.4;15;4;0;1;5;2;2;2;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;2;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;NaN;51;50;NaN;1;4;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;691935411;4208961281;48.79;Pri;10066;0;0;1;1;1;0;0;0;3;16;1
230;1;2,01E+12;1;7;1;3;5;1;2;CV-95;5;5;0;1;1;5;3;2;3;3;2;1;2;2;1;1;2;1;2;1;1;1;9;14;1;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;697429643;4205484402;14.311;Cob;13961;0;0;2;2;2;1;0;0;3;9;7
231;1;2,01E+12;1;7;3;4;7;3;1;CV-805;11;11;0;1;1;5;3;2;3;4;2;1;1;2;1;1;7;7;8;1;1;1;2;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;53;50;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;709362269;4275487787;631.125;Cob;1960;0;1;0;1;1;0;0;1;2;13;4
237;1;2,01E+12;1;7;5;3;2;1;1;CV-920;3;3;0;1;1;5;2;3;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;2;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;NaN;61;60;NaN;1;4;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;702539135;4219828312;-23.578;Pri;7582;0;1;0;1;1;0;0;1;2;8;1
239;1;2,01E+12;1;7;3;6;7;3;2;CV-920;2.6;2;6;1;1;5;2;2;3;3;2;1;1;2;1;1;7;7;8;1;1;1;9;14;1;1;3;NaN;2;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;702930.67;4219895.92;-23.27;Pri;7582;0;0;2;2;2;0;0;0;3;18;1
244;1;2,01E+12;1;7;4;6;1;4;2;CV-945;1;1;0;0;1;5;2;3;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;3;1;1;NaN;1;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;699856207;4211770701;-22.844;Sec;12803;0;0;7;7;2;6;0;0;3;19;1
159;1;2,01E+12;1;7;8;6;5;1;2;CV-773;6.6;6;6;1;1;5;2;3;3;1;2;1;2;2;1;1;7;7;8;3;1;4;9;14;1;1;1;NaN;3;3;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;725030986;4262182139;275.311;Cob;3853;0;0;1;1;2;0;0;0;3;17;3
161;1;2,01E+12;1;7;10;6;7;3;1;CV-835;4.6;4;6;0;1;5;2;2;3;3;1;1;1;1;1;1;7;7;8;1;5;1;9;14;1;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;66;NaN;60;NaN;1;4;2;2;1;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;691364.86;4252791481;325.633;Sec;3578;0;0;1;1;1;1;0;0;3;21;1
168;1;2,01E+12;1;7;10;6;7;3;3;CV-91;17.1;17;1;0;1;5;3;2;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;3;1;1;NaN;1;1;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;697285337;4219324575;-20.387;Cob;11370;0;2;3;5;3;3;0;1;2;18;2
169;1;2,01E+12;1;7;9;1;6;2;1;CV-905;4;4;0;0;1;5;3;2;3;3;2;1;1;1;2;2;7;7;8;1;5;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;66;NaN;60;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;700274205;4212898164;-19.751;Cob;29819;0;1;1;2;1;1;0;1;2;0;1
177;1;2,01E+12;1;7;8;4;5;1;2;CV-83;3.6;3;6;0;1;5;3;2;3;3;2;1;1;2;1;1;7;7;8;1;1;4;9;14;3;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;690714108;4257484508;314.964;Cob;9515;0;0;3;3;2;2;0;0;3;12;1
178;1;2,01E+12;1;7;6;6;3;1;1;CV-724;4;4;0;1;1;5;2;2;3;1;2;1;1;1;1;1;7;7;8;1;1;1;9;14;1;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;NaN;64;60;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;765032463;4301848.47;15.398;Sec;7155;0;0;1;1;1;0;0;0;3;18;4
179;1;2,01E+12;1;7;10;4;7;3;1;CV-700;55.7;55;7;0;1;5;2;2;3;2;2;1;1;1;1;1;7;7;8;3;1;5;4;14;2;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;52;50;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;749078022;4304108921;39.33;Pri;3117;0;0;2;2;1;1;0;0;3;12;3
180;1;2,01E+12;1;7;9;6;6;2;1;CV-700;14.8;14;8;1;1;5;3;3;3;1;2;1;1;1;1;1;7;7;8;1;5;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;NaN;51;50;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;747063401;4304066682;91.774;Cob;1043;0;1;0;1;1;0;0;1;2;22;1
182;1;2,01E+12;1;7;4;5;1;4;2;CV-836;8.4;8;4;0;1;5;3;2;3;3;2;1;1;2;2;2;1;1;5;1;1;1;9;14;3;1;1;NaN;1;1;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;671121382;4251080402;560.524;Pri;4720;0;1;1;2;2;0;0;1;2;15;6
5;1;2,01E+12;1;7;9;4;6;2;1;CV-83;0.5;0;5;1;1;7;3;3;3;1;2;1;2;2;2;2;7;7;5;1;1;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;66;NaN;60;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;667345422;4252744098;607.03;Cob;9515;0;1;1;2;1;1;0;1;2;12;5
6;1;2,01E+12;1;7;16;2;6;2;1;CV-905;8;8;0;0;1;5;2;2;3;3;2;2;1;1;2;2;7;7;8;1;2;1;9;14;3;1;1;NaN;1;NaN;NaN;;NaN;;NaN;;NaN;54;50;NaN;1;4;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;702386809;4209757539;-18.644;Cob;34680;0;0;1;1;1;0;0;0;3;6;1
14;1;2,01E+12;1;7;12;6;2;1;4;CV-95;25.3;25;3;0;1;5;2;2;3;1;2;1;1;1;2;2;7;7;8;1;1;1;9;14;3;1;1;NaN;1;5;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;2;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;699786788;4204473061;1.3;Cob;22260;0;0;1;1;4;0;0;0;3;19;1
16;1;2,01E+12;1;7;12;6;2;1;2;CV-95;26.6;26;6;0;1;5;3;2;2;3;2;1;1;2;2;2;1;1;3;1;1;1;9;14;1;1;1;NaN;1;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;701029314;4204263.23;-13.939;NaN;0;0;0;1;1;2;0;0;0;3;20;6
20;1;2,01E+12;1;7;13;3;3;1;2;CV-920;15.6;15;6;0;1;5;2;2;3;3;2;1;1;1;2;2;1;1;7;1;1;1;9;14;3;1;1;NaN;1;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;698826945;4217662939;-7.462;Cob;1399;0;0;1;1;2;0;0;0;3;10;7
22;1;2,01E+12;1;7;14;6;4;1;2;CV-865;10;10;0;1;1;5;3;2;3;3;2;1;1;1;2;2;7;7;8;1;1;1;9;14;3;1;1;NaN;1;3;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;705063599;4236584921;28.972;Sec;9468;0;0;1;1;2;0;0;0;3;19;1
